source_url,target_url,status,preserve_query_string,include_subdomains,subpath_matching,preserve_path_suffix
digiblu.com/ai-artificial-intelligence,https://www.digiblu.com/services#ai,301,false,true,false,false
digiblu.com/digital-solutions,https://www.digiblu.com/services#digital,301,false,true,false,false
digiblu.com/process-excellence,https://www.digiblu.com/services#process,301,false,true,false,false
digiblu.com/target-operating-model,https://www.digiblu.com/services#tom,301,false,true,false,false
digiblu.com/opportunity-discovery,https://www.digiblu.com/services#discovery,301,false,true,false,false
digiblu.com/post-implementation-services,https://www.digiblu.com/services#post,301,false,true,false,false
digiblu.com/about-us,https://www.digiblu.com/#about,301,false,true,false,false
digiblu.com/about-us-1,https://www.digiblu.com/#about,301,false,true,false,false
digiblu.com/about-digiblu,https://www.digiblu.com/team,301,false,true,false,false
digiblu.com/leadership-team,https://www.digiblu.com/team,301,false,true,true,false
digiblu.com/contact-us,https://www.digiblu.com/contact,301,false,true,false,false
digiblu.com/website-terms-of-use,https://www.digiblu.com/legal/website-terms-of-use,301,false,true,false,false
digiblu.com/privacy-policy,https://www.digiblu.com/legal/privacy-policy,301,false,true,false,false
digiblu.com/modern-slavery-policy,https://www.digiblu.com/legal/modern-slavery-policy,301,false,true,false,false
digiblu.com/carbon-reduction-plan,https://www.digiblu.com/legal/carbon-reduction-plan,301,false,true,false,false
digiblu.com/armed-forces-covenant,https://www.digiblu.com/legal/armed-forces-covenant,301,false,true,false,false
digiblu.com/our-projects/automating-complicated-customer-service-interactions,https://www.digiblu.com/case-studies/sse-ovo,301,false,true,false,false
digiblu.com/our-projects/transforming-fms-services-with-digital-onboarding-solutions,https://www.digiblu.com/case-studies/assurancesd,301,false,true,false,false
digiblu.com/our-projects/simplifying-funding-applications-for-life-changing-sport-programs-,https://www.digiblu.com/case-studies/special-olympics,301,false,true,false,false
digiblu.com/our-projects/streamlining-healthcare-onboarding%3A-reducing-time-and-enhancing-efficiency,https://www.digiblu.com/case-studies/healthcare,301,false,true,false,false
digiblu.com/our-projects/streamlining-hr-and-payroll-integration-through-automation,https://www.digiblu.com/case-studies/northwest,301,false,true,false,false
digiblu.com/our-projects/digitising-intake-at-emergency-humanitarian-relief-centers-,https://www.digiblu.com/case-studies/us-city,301,false,true,false,false
digiblu.com/our-projects/designing%2C-deploying-and-scaling-an-automation-centre-of-excellence,https://www.digiblu.com/case-studies/old-mutual,301,false,true,false,false
digiblu.com/our-projects/training-for-transformation%3A-establishing-a-digital-workforce,https://www.digiblu.com/case-studies,301,false,true,false,false
digiblu.com/our-projects,https://www.digiblu.com/case-studies,301,false,true,true,false
digiblu.com/blog,https://www.digiblu.com/,301,false,true,true,false
digiblu.com/post,https://www.digiblu.com/,301,false,true,true,false
digiblu.com/News,https://www.digiblu.com/,301,false,true,true,false
